,timestamp,symbol,vwap,delayed_trade_date
142,2022-08-10 14:00:00,SNGX,0.854303,2022-08-10 00:00:00
187,2022-08-10 14:00:00,KIRK,3.10232,2022-08-10 00:00:00
186,2022-08-10 14:00:00,PRCH,2.933837,2022-08-10 00:00:00
185,2022-08-10 14:00:00,EAR,1.007863,2022-08-10 00:00:00
184,2022-08-10 14:00:00,BTCUSDT,23959.391872,2022-08-10 00:00:00
183,2022-08-10 14:00:00,NVDA,174.790045,2022-08-10 00:00:00
182,2022-08-10 14:00:00,DOCU,74.471318,2022-08-10 00:00:00
181,2022-08-10 14:00:00,MANT,95.746624,2022-08-10 00:00:00
180,2022-08-10 14:00:00,ZM,110.262545,2022-08-10 00:00:00
166,2022-08-10 14:00:00,COGT,13.92161,2022-08-10 00:00:00
179,2022-08-10 14:00:00,TSLA,861.283042,2022-08-10 00:00:00
177,2022-08-10 14:00:00,ETSY,114.427039,2022-08-10 00:00:00
175,2022-08-10 14:00:00,REAL,2.87007,2022-08-10 00:00:00
174,2022-08-10 14:00:00,INZY,3.44,2022-08-10 00:00:00
173,2022-08-10 14:00:00,DBVT,2.699649,2022-08-10 00:00:00
172,2022-08-10 14:00:00,FTNT,53.71098,2022-08-10 00:00:00
171,2022-08-10 14:00:00,PLBC,32.84,2022-08-10 00:00:00
170,2022-08-10 14:00:00,ECOR,0.647439,2022-08-10 00:00:00
169,2022-08-10 14:00:00,AAL,15.126434,2022-08-10 00:00:00
168,2022-08-10 14:00:00,ADTX,0.162614,2022-08-10 00:00:00
178,2022-08-10 14:00:00,BIOL,5.323709,2022-08-10 00:00:00
141,2022-08-10 14:00:00,TTD,72.671658,2022-08-10 00:00:00
163,2022-08-10 14:00:00,AMD,96.623519,2022-08-10 00:00:00
139,2022-08-10 14:00:00,PTON,11.727399,2022-08-10 00:00:00
114,2022-08-10 14:00:00,FANG,123.408855,2022-08-10 00:00:00
113,2022-08-10 14:00:00,LHCG,163.45124,2022-08-10 00:00:00
112,2022-08-10 14:00:00,FTMUSD,0.0,2022-08-10 00:00:00
111,2022-08-10 14:00:00,RYTM,22.32461,2022-08-10 00:00:00
110,2022-08-10 14:00:00,CREX,0.65538,2022-08-10 00:00:00
109,2022-08-10 14:00:00,BIMI,0.561134,2022-08-10 00:00:00
108,2022-08-10 14:00:00,ALRN,0.182789,2022-08-10 00:00:00
107,2022-08-10 14:00:00,CDLX,15.615506,2022-08-10 00:00:00
106,2022-08-10 14:00:00,ADVM,1.512443,2022-08-10 00:00:00
115,2022-08-10 14:00:00,IDRA,0.463195,2022-08-10 00:00:00
105,2022-08-10 14:00:00,BDSX,2.594943,2022-08-10 00:00:00
103,2022-08-10 14:00:00,AVGO,542.976323,2022-08-10 00:00:00
102,2022-08-10 14:00:00,VERU,11.475572,2022-08-10 00:00:00
101,2022-08-10 14:00:00,AGLE,0.416665,2022-08-10 00:00:00
100,2022-08-10 14:00:00,TTOO,0.14434,2022-08-10 00:00:00
99,2022-08-10 14:00:00,TTNP,1.337838,2022-08-10 00:00:00
98,2022-08-10 14:00:00,OEG,0.0,2022-08-10 00:00:00
97,2022-08-10 14:00:00,CRWD,198.408011,2022-08-10 00:00:00
96,2022-08-10 14:00:00,VRM,1.632964,2022-08-10 00:00:00
