,symbol,size,date_time_unix,date_time_utc,date_time_utc_full_hour
98,NOC,-0.020,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
99,BRBR,-0.021,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
100,GD,-0.022,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
101,GOLF,-0.023,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
102,KR,-0.026,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
103,AOS,-0.028,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
104,CVX,-0.034,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
105,GCI,-0.036,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
106,IWM,-0.161,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
107,QQQ,-0.328,1640911222,2021-12-30 19:40:22+00:00,2021-12-30 20:00:00+00:00
0,URA,0.017,1641256720,2022-01-03 19:38:40+00:00,2022-01-03 20:00:00+00:00
0,TBT,0.02,1641393230,2022-01-05 09:33:50+00:00,2022-01-05 10:00:00+00:00
0,PPLT,0.01,1641393296,2022-01-05 09:34:56+00:00,2022-01-05 10:00:00+00:00
0,KWEB,0.05,1641393542,2022-01-05 09:39:02+00:00,2022-01-05 10:00:00+00:00
0,SHOP,0,1641393798,2022-01-05 09:43:18+00:00,2022-01-05 10:00:00+00:00
0,URA,0.013000000000000001,1641479666,2022-01-06 09:34:26+00:00,2022-01-06 10:00:00+00:00
0,TECK,0.03,1641481196,2022-01-06 09:59:56+00:00,2022-01-06 10:00:00+00:00
0,BABA,0.04,1641481445,2022-01-06 10:04:05+00:00,2022-01-06 11:00:00+00:00
0,SRMUSDT,0,1641495752,2022-01-06 14:02:32+00:00,2022-01-06 15:00:00+00:00
1,FTMUSDT,0.01,1641495752,2022-01-06 14:02:32+00:00,2022-01-06 15:00:00+00:00
0,BTCUSDT,0.05,1641495921,2022-01-06 14:05:21+00:00,2022-01-06 15:00:00+00:00
1,LUNAUSDT,0.015,1641495921,2022-01-06 14:05:21+00:00,2022-01-06 15:00:00+00:00
2,ETHUSDT,0.02,1641495921,2022-01-06 14:05:21+00:00,2022-01-06 15:00:00+00:00
3,AVAXUSDT,0.015,1641495921,2022-01-06 14:05:21+00:00,2022-01-06 15:00:00+00:00
4,SOLUSDT,0.015,1641495921,2022-01-06 14:05:21+00:00,2022-01-06 15:00:00+00:00
5,DOTUSDT,0.01,1641495921,2022-01-06 14:05:21+00:00,2022-01-06 15:00:00+00:00
6,ONEUSDT,0.005,1641495921,2022-01-06 14:05:21+00:00,2022-01-06 15:00:00+00:00
0,SUSHIUSDT,0.01,1641496085,2022-01-06 14:08:05+00:00,2022-01-06 15:00:00+00:00
0,GDDY,0.03,1641936084,2022-01-11 16:21:24+00:00,2022-01-11 17:00:00+00:00
0,OPEN,0,1641936269,2022-01-11 16:24:29+00:00,2022-01-11 17:00:00+00:00
1,EHTH,0.01,1641936269,2022-01-11 16:24:29+00:00,2022-01-11 17:00:00+00:00
0,TECK,0.015,1642117064,2022-01-13 18:37:44+00:00,2022-01-13 19:00:00+00:00
1,VALE,0.015,1642117064,2022-01-13 18:37:44+00:00,2022-01-13 19:00:00+00:00
2,NG,0.02,1642117064,2022-01-13 18:37:44+00:00,2022-01-13 19:00:00+00:00
0,BIDU,0.035,1642117339,2022-01-13 18:42:19+00:00,2022-01-13 19:00:00+00:00
1,NOAH,0.03,1642117339,2022-01-13 18:42:19+00:00,2022-01-13 19:00:00+00:00
2,QQQ,-0.4,1642117339,2022-01-13 18:42:19+00:00,2022-01-13 19:00:00+00:00
3,ZTO,0.02,1642117339,2022-01-13 18:42:19+00:00,2022-01-13 19:00:00+00:00
0,GDXJ,0.04,1642118140,2022-01-13 18:55:40+00:00,2022-01-13 19:00:00+00:00
0,PBR,0.01,1642118429,2022-01-13 19:00:29+00:00,2022-01-13 20:00:00+00:00
1,ITUB,0.01,1642118429,2022-01-13 19:00:29+00:00,2022-01-13 20:00:00+00:00
0,XOM,0.02,1642181392,2022-01-14 12:29:52+00:00,2022-01-14 13:00:00+00:00
0,FIVN,0.025,1642198944,2022-01-14 17:22:24+00:00,2022-01-14 18:00:00+00:00
1,CVNA,0.02,1642198944,2022-01-14 17:22:24+00:00,2022-01-14 18:00:00+00:00
2,MSFT,0.03,1642198944,2022-01-14 17:22:24+00:00,2022-01-14 18:00:00+00:00
3,FB,0.03,1642198944,2022-01-14 17:22:24+00:00,2022-01-14 18:00:00+00:00
4,GOOG,0.03,1642198944,2022-01-14 17:22:24+00:00,2022-01-14 18:00:00+00:00
0,PENN,0.02,1642531103,2022-01-18 13:38:23+00:00,2022-01-18 14:00:00+00:00
0,IWM,-0.15,1642531188,2022-01-18 13:39:48+00:00,2022-01-18 14:00:00+00:00
1,SPY,-0.1,1642531188,2022-01-18 13:39:48+00:00,2022-01-18 14:00:00+00:00
0,ETHUSDT,0.03,1642635066,2022-01-19 18:31:06+00:00,2022-01-19 19:00:00+00:00
0,TCOM,0.03,1642719108,2022-01-20 17:51:48+00:00,2022-01-20 18:00:00+00:00
0,BILL,0.04,1642719392,2022-01-20 17:56:32+00:00,2022-01-20 18:00:00+00:00
0,NOAH,0.035,1642719701,2022-01-20 18:01:41+00:00,2022-01-20 19:00:00+00:00
1,SPY,-0.1,1642719701,2022-01-20 18:01:41+00:00,2022-01-20 19:00:00+00:00
2,IWM,-0.15,1642719701,2022-01-20 18:01:41+00:00,2022-01-20 19:00:00+00:00
3,QQQ,-0.4,1642719701,2022-01-20 18:01:41+00:00,2022-01-20 19:00:00+00:00
0,GSHD,0,1642720303,2022-01-20 18:11:43+00:00,2022-01-20 19:00:00+00:00
1,BRBR,-0.015,1642720303,2022-01-20 18:11:43+00:00,2022-01-20 19:00:00+00:00
0,GDXJ,0.05,1643120335,2022-01-25 09:18:55+00:00,2022-01-25 10:00:00+00:00
1,SPY,-0.1,1643120335,2022-01-25 09:18:55+00:00,2022-01-25 10:00:00+00:00
2,IWM,-0.125,1643120335,2022-01-25 09:18:55+00:00,2022-01-25 10:00:00+00:00
